,0_x,0_y
73,"['It\'s a free world\nAnd you\'re a big girl\nYou will never learn\nSo you can dig your own grave without me\nYou and I were dancing\nWhen the music stopped\nI fell through the floor\nBut you stayed on top\nNow I\'ll never make it back across this great divide\nAnd I miss the old you like you miss the old me\nYou only see what you wanna see\nYou only hear what you wanna hear\nWell you can do what you wanna do\nBut you\'ll miss the old me\nLike I miss the old you\nIt\'s a free world\nAnd you\'re a big girl\nYou will never learn\nSo you can dig your own grave without me\nYou don""t have to listen to what I say\nYou don\'t have to do things my way\nYou can burn your bridges if you want to\nAnd it\'s your own choice\nTo fall flat on your face\nIs this what we became?\nA dead painting in a frame\nWe turned…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Missing You _ Missing Me+Deportees
74,['Disponible en\nSpotify\nDeezer\nGoogle Play Música\nArtista: Joe Williams\nArtista invitado: Count Basie\nGénero: Jazz'],Confessin' The Blues+Joe Williams & Count Basie
75,[],Rowdy Jack+Gigi Barocco
76,[],Common People+Pulp
77,[],Money+Arrogance
78,[],The Underworld (featuring Poet Shado)+MRK 1
79,[],Chalito+Noel
80,[],Monkey Mash+Task Horizon
81,[],Enamorado De Ti Estoy+Willie Gonzalez
82,[],Swaheto Woman+David Johansen
83,[],Tease Me Please Me+Scorpions
84,[],Talking Head+Lucio De Rimanez
85,[],Garden City Blues+Silkworm
86,[],Mustang (Instrumental)+Mustang
87,[],Unite The Masses (prod. by Entity)+Maestroes
88,[],Fekete tyÃºk_ fekete kÃºt+Goulasch Exotica
89,[],Smiles And Laughter (AD 110)+Modern English
90,[],Summer Loving Song+Katell Keineg
91,[],San Francisco+Paul Mauriat And His Orchestra
92,[],1103+Chaundon
93,[],Biting The Soles Of My Feet+The Electric Soft Parade
94,[],Un dedo+Voltio
95,[],Asignatura pendiente (Album)+Ricardo Arjona
96,[],City of God+Sodom
97,[],Poison Like Sweat+Dedicated Frequency
98,[],Don't Wanna Come Back+Mother's Finest
99,[],Objects Are Falling (Instrumental)+Ceschi
